"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Overall","Grade"
"1",100,100,100,100,100,100,100,100,100,12,12,18,20,20,80,90,100,100,100,100,100,"A+"
"2",85,95,100,95,95,95,100,100,100,12,11,16,18,19,57.6,74.7,72,83,97.5,92.2222222222222,88.2333333333333,"A-"
"3",87.5,100,85,70,100,98,0,80,0,7,10,10,10,0,56.8,54.9,71,61,77.5625,62.962962962963,64.1631944444444,"C-"
"4",92.5,100,100,100,96.25,99,100,92.5,95,12,8,16,13,13,69.6,58.05,87,64.5,97.84375,73.5185185185185,83.9059027777778,"B"
"5",32.5,0,65,60,0,46,0,0,0,5,5,9,0,0,40,16.2,50,18,25.4375,30.5555555555556,26.7145833333333,"F"
"6",75,85,92.5,95,100,91,0,0,90,9,11,17,0,15,73.6,71.1,92,79,78.5625,87.037037037037,80.7743055555556,"B-"
"7",90,100,97.5,95,80,80,52,90,90,12,11,9,15,18,78.4,68.85,98,76.5,90.3125,85.5555555555555,88.6520833333333,"A-"
"8",92.5,95,100,90,100,72,95,74.5,100,12,10,8,12,13,52,63.9,65,71,93.375,69.4444444444444,79.1791666666667,"C+"
"9",82.5,85,92.5,70,100,0,84,90,95,12,11,18,14,19,80,73.8,100,82,87.375,95.5555555555556,91.0458333333333,"A"
"10",75,95,95,95,95,96,0,100,98,12,7,10,13,16,63.2,70.65,79,78.5,93.625,67.7777777777778,83.6791666666667,"B"
"11",0,77.5,0,15,0,70,80,80,57.5,11,8,5,7,3,21.6,50.4,27,56,47.5,43.1481481481481,50.1222222222222,"D"
"12",95,100,100,100,100,90,100,100,70,12,12,18,16,20,77.6,87.3,97,97,98.125,100,98.0875,"A+"
"13",82.5,0,82.5,80,100,0,0,0,70,12,9,7,9,12,42.4,41.4,53,46,51.875,60,56.6625,"D"
"14",80,92.5,87.5,100,100,69,51.5,80,75,12,12,15,13.5,20,70.4,68.4,88,76,85.5,94.4444444444445,86.4166666666667,"B+"
"15",87.5,100,100,100,85,90,100,100,80,12,8,13,12,15,68,70.2,85,78,95.3125,71.2962962962963,85.7881944444445,"B"
"16",50,0,67.5,50,0,78,41.5,82.5,80,11,4,10,14,17,40,36.9,50,41,56.1875,70.1851851851852,57.6340277777778,"D"
"17",47.5,70,77.5,30,85,55,78,92.5,80,11,8,3,0,6,47.2,20.7,59,23,73.1875,37.7777777777778,55.1729166666667,"D"
"18",77.5,85,100,100,95,93,82,90,95,12,9,10,14,13,59.2,69.3,74,77,92.5,70,82.3,"B"
"19",65,92.5,92.5,0,95,80,74,80,80,12,10,9,13,14,64,67.95,80,75.5,82.375,72.7777777777778,80.5041666666667,"B-"
"20",52.5,75,85,90,86.25,99,70,100,0,8,8,14,5,10,61.6,62.1,77,69,82.21875,64.8148148148148,71.0378472222222,"C"
"21",77.5,97.5,100,100,100,100,100,100,100,12,11,18,14,20,69.6,70.2,87,78,99.6875,97.2222222222222,91.3895833333333,"A"
"22",95,77.5,95,100,100,87,100,90,100,12,12,17,14,19,64,77.4,80,86,95.875,96.4814814814815,90.7347222222222,"A"
"23",70,67.5,75,70,95,77,79,0,63.5,11,11,11,0,16,54.4,45,68,50,74.625,77.5925925925926,70.1263888888889,"C"
"24",77.5,70,87.5,90,80,81,87,90,85,11,8,0,0,14,35.2,31.5,44,35,84.75,45.5555555555556,59.8083333333333,"D"
"25",72.5,72.5,85,80,90,93,100,100,100,12,11,16,14,19,64.8,81,81,90,90.0625,91.8518518518518,89.4965277777778,"A-"
"26",80,80,85,60,92.5,71,48,64,95,12,4,4,8,5,39.2,42.75,49,47.5,78.4375,32.7777777777778,60.1229166666667,"C-"
"27",97,100,100,100,100,98,100,0,96,12,9,7,0,20,67.2,77.4,84,86,98.875,71.2962962962963,88.6569444444444,"A-"
"28",92.5,100,100,80,100,0,83,95,90,12,8,3,15,14,50.4,61.2,63,68,92.5625,70.5555555555556,77.9520833333333,"C+"
"29",87.5,55,87.5,52.5,70,98,90,90,80,12,10,12,6,16,57.6,62.1,72,69,82.25,76.6666666666667,77.825,"C+"
"30",92.5,92.5,85,90,95,87,73,100,80,12,10,13,17,18,72,67.5,90,75,90.25,86.1111111111111,86.7416666666667,"B+"
"31",52.5,97.5,100,90,95,95,100,85,70,12,11,10,13,15,64.8,70.65,81,78.5,91.5625,77.2222222222222,84.8770833333333,"B"
"32",86.5,94,95,100,95,90,77,60,98,10,8,11,13,17,63.2,64.35,79,71.5,91.9375,72.2222222222222,80.0895833333333,"B-"
"33",88.5,85,100,100,100,99,100,100,94,12,12,16,18,20,79.2,67.05,99,74.5,97.6875,96.6666666666667,92.23125,"A"
"34",95,98,100,80,100,90,52,70,100,12,10,8,15,16,62.4,48.15,78,53.5,91.625,79.4444444444444,78.3791666666667,"C+"
"35",85,77.5,92.5,55,65,64,26,62.5,85,12,4,9,6,12,29.6,24.75,37,27.5,73.3125,47.7777777777778,53.4354166666667,"D"
"36",87.5,100,100,70,95,100,78,90,80,12,8,8,8,18,62.4,35.1,78,39,91.3125,67.037037037037,72.7993055555556,"C"
"37",76,72.5,50,0,61.25,71,51,50,80,12,7,10,10,4,44.8,63.45,56,70.5,63.96875,54.6296296296296,66.2100694444444,"C-"
"38",81,97.5,100,75,95,87,82,90,95,12,12,18,15,11,67.2,75.6,84,84,90.9375,91.6666666666667,88.83125,"A-"
"39",92.5,100,92.5,90,100,95,85,90,80,12,10.5,12,13,20,66.4,63,83,70,93.125,84.7222222222222,84.7458333333333,"B"
"40",87.5,100,92.5,90,95,91,90,95,100,11,10,12,16.5,17,72,81,90,90,94.1875,83.6111111111111,91.2979166666667,"A"
"41",93.5,95,97.5,100,100,76,95,90,80,12,12,14,15,13,76.8,75.15,96,83.5,93.875,84.2592592592593,90.8763888888889,"A"
"42",75,82.5,100,100,90,88,84,87.5,100,12,11,16,14,18,76.8,76.5,96,85,91.5,90.1851851851852,91.4277777777778,"A"
"43",87.5,62.5,80,70,100,96,92,100,70,12,7,12,12,15,58.4,54.9,73,61,86.9375,67.2222222222222,76.0145833333333,"C"
"44",90,90,72.5,90,100,97,100,95,100,12,10,11,13,13,55.2,41.4,69,46,95.25,71.1111111111111,74.5416666666667,"C"
"45",70,90,90,80,69.5,54,82,0,100,9,6,7,8,8,37.6,43.2,47,48,79.4375,43.3333333333333,57.73125,"D"
"46",95,85,90,50,56,86,92,75,55,12,10.5,14,9,15,42.4,27,53,30,79.25,80.0925925925926,63.8888888888889,"C-"
"47",82.5,100,97.5,90,91.25,99,97,100,100,12,11,16,18,20,67.2,73.8,84,82,96.84375,93.8888888888889,90.4364583333333,"A"
"48",95,100,100,90,95,99,97,80,100,12,12,17,18,19,70.4,83.25,88,92.5,97,96.4814814814815,94.2972222222222,"A"
"49",100,100,97.5,100,100,95,100,100,60,12,11.5,11,15,14,55.2,69.3,69,77,99.0625,80.2777777777778,84.8104166666667,"B"
"50",67.5,100,100,90,95,90,100,90,100,12,12,14,14,20,71.2,83.7,89,93,95.625,92.5925925925926,93.6263888888889,"A"
"51",92.5,85,92.5,100,100,93,91,90,75,12,11.5,15,15,14,66.4,80.1,83,89,93,84.7222222222222,89.4583333333333,"A-"
"52",80,85,92.5,0,95,66,80.5,67.5,100,12,8,16,17,16,49.6,62.55,62,69.5,83.3125,84.6296296296296,77.4631944444444,"C"
"53",0,77.5,100,80,100,90,80,0,65,12,10.5,17,15,17,34.4,69.3,43,77,74.0625,88.9814814814815,73.4159722222222,"C"
"54",92.5,95,85,100,100,99,89,100,100,12,11,18,15,20,67.2,70.2,84,78,96.9375,97.2222222222222,89.9645833333333,"A-"
"55",90,95,100,100,100,99,100,80,85,12,12,18,15,20,71.2,76.5,89,85,96.125,100,92.8875,"A"
"56",87.5,77.5,97.5,90,97,96,90,80,80,12,11.5,0,11,16,56,60.75,70,67.5,89.75,76.9444444444445,79.3416666666667,"C+"
"57",92.5,100,100,100,95,99,94,99,95,12,9,18,17,19,70.4,77.4,88,86,97.75,93.3333333333333,92.425,"A"
"58",95,98,92.5,70,95,98,100,100,98,12,12,14,10,18,68.8,70.2,86,78,97.0625,89.2592592592593,89.2076388888889,"A-"
"59",82,100,91.5,100,100,90,100,70,96,12,6,14,12,19,55.2,63.9,69,71,94.9375,77.5925925925926,81.6701388888889,"B-"
"60",82.5,100,85,75,95,86,26,45,65,12,4,10,10,17,36.8,36,46,40,79.1875,63.5185185185185,62.4840277777778,"C-"
"61",90,95,100,100,100,96,100,95,100,12,8,17,15,18,44.8,63,56,70,98.25,86.4814814814815,81.1472222222222,"B-"
"62",87.5,77.5,100,80,85,99,100,100,85,11,8,10,5,12,38.4,40.95,48,45.5,92.0625,60.7407407407407,67.7048611111111,"C-"
"63",74,100,85,90,90,96,86,90,98,12,11,14,15,18,60.8,76.05,76,84.5,91.875,86.4814814814815,86.8597222222222,"B+"
"64",80,60,95,80,85,91,68,80,67.5,12,5,11,11,16,36.8,45,46,50,80.8125,65.3703703703704,65.7493055555556,"C-"
"65",91.5,97,87.5,80,90,82,90,90,98,12,7,13,11,15,51.2,39.15,64,43.5,90.75,68.5185185185185,71.1777777777778,"C"
"66",80,95,90,80,97.5,94,73,90,85,12,7,12,11.5,20,64.8,64.35,81,71.5,88.9375,75,82.00625,"B"
"67",92.5,95,100,100,95,98,70,100,100,12,11,11,12,18,66.4,73.35,83,81.5,97.5625,80.9259259259259,88.3826388888889,"A-"
"68",92.5,100,100,90,100,93,89,80,60,12,10,14,11,16,65.6,63.9,82,71,93.0625,80.3703703703704,84.1243055555556,"B"
"69",80,77.5,70,65,100,97,100,75,85,12,7,10,5,8,56.8,34.2,71,38,85.5625,51.2962962962963,67.0631944444444,"C-"
"70",80,0,92.5,90,90,79,0,70,51.5,12,11,16,0,20,75.2,68.85,94,76.5,69.125,93.5185185185185,82.6902777777778,"B"
"71",0,10,47.5,0,90,0,56,40,75,7,6.5,5,6,16,43.2,31.5,54,35,39.8125,54.7222222222222,41.7020833333333,"F"
"72",85,85,92.5,60,95,98,100,80,100,12,11,9,15,19,47.2,57.6,59,64,91.9375,87.2222222222222,78.4645833333333,"C+"
"73",70,89,70,80,85,96,0,90,0,11,9,8,13,0,64,54.9,80,61,72.5,61.4814814814815,72.2222222222222,"C"
"74",85,97.5,100,85,75,97,97,95,85,12,3,8,7,13,48.8,36.45,61,40.5,92.6875,48.1481481481481,67.3534722222222,"C-"
"75",94.5,100,85,100,100,98,90,100,96,12,9,11,16,16,78.4,72,98,80,97.3125,78.3333333333333,90.54375,"A"
"76",62.5,65,32.5,27.5,0,79,79,75,94,12,11,6,5,11,44,54.9,55,61,64.3125,60,64.54375,"C-"
"77",85,70,85,95,100,88,88,100,85,12,9,18,18,20,47.2,65.7,59,73,90.75,96.6666666666667,81.775,"B-"
"78",92.5,100,100,100,100,100,100,95,100,12,11,16,16,16,59.2,71.1,74,79,99.375,86.8518518518518,87.3902777777778,"B+"
"79",92.5,100,100,100,95,90,100,95,85,12,12,16,16,16,76,74.25,95,82.5,96.5625,89.6296296296296,92.0381944444445,"A"
"80",80,75,90,90,100,93,98,90,85,12,11,16,15,20,69.6,76.5,87,85,90.75,93.5185185185185,89.9027777777778,"A-"
"81",92.5,82.5,87.5,90,100,82,82,0,85,9,6,8,0,5,45.6,52.2,57,58,87.6875,39.8148148148148,64.1784722222222,"C-"
